KatpointTargets,ProposalId,StartTime,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq
"J1939-6342 | 1934-638\, radec delaycal bpcal\, 19:39:25.03\, -63:42:45.6,J1733-1304 | NRAO530\, radec gaincal\, 17:33:02.71\, -13:04:49.5,MAXIJ1820\, radec target\, 18:20:21.94\, 7:11:07.2,J1744-5144 | 1740-517\, radec gaincal\, 17:44:25.45\, -51:44:43.7,GX_339-4\, radec target\, 17:02:49.36\, -48:47:22.8,4U1630\, radec target\, 16:34:01.61\, -47:23:34.8",SCI-20180516-PW-01,2020-03-21T01:21:20Z,1584753662,ThunderKAT XRB+CV 2020-03-21,3862.37,SPOOLED,true,4096,"J1939-6342,1934-638,J1733-1304,NRAO530,MAXIJ1820,J1744-5144,1740-517,GX_339-4,4U1630",8.56E8,1.712E9
"J0737-3039A\, radec Pulsars\, 7:37:51.25\, -30:39:40.7",SCI-20180516-MB-03,2020-03-20T20:18:03Z,1584735474,MeerTIME J0737-3039A copy,8611.34,SPOOLED,,1024,J0737-3039A,5.44E8,1.088E9
"J0737-3039A\, radec Pulsars\, 7:37:51.25\, -30:39:40.7",SCI-20180516-MB-03,2020-03-20T20:06:16Z,1584734768,MeerTIME J0737-3039A,472.18,SPOOLED,,1024,J0737-3039A,5.44E8,1.088E9
"J0408-6545_S\, radec\, 4:08:20.38\, -65:55:08.9,J0408-6545_O | PKS 0408-65\, radec\, 4:08:20.38\, -65:45:09.1\, (1410.0 8400.0 -3.708 3.807 -0.7202),J0408-6545_N\, radec\, 4:08:20.38\, -65:35:09.3",SCI-20180516-MB-99,2020-03-20T19:51:17Z,1584733874,Fluxcal J0408-6545,256.1,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",5.44E8,1.088E9
"J0408-6545 | PKS 0408-65 | PKS 0407-65\, radec bfcal single_accumulation\, 4:08:20.38\, -65:45:09.1\, (850.0 1720.0 66.46 -62.7 20.46 -2.265)",SCI-20180516-MB-99,2020-03-20T19:41:01Z,1584733257,Meertime 1K L-band phase up with flatten bandpass,416.16,SPOOLED,,1024,"J0408-6545,PKS 0408-65,PKS 0407-65",5.44E8,1.088E9
"J0024-7204L\, radec Pulsars\, 0:24:05.67\, -72:04:52.6",SCI-20180516-MB-04,2020-03-20T17:42:21Z,1584726072,MeerTIME Globular Cluster 47 Tuc,5450.11,SPOOLED,,1024,J0024-7204L,5.44E8,1.088E9
"J0408-6545_S\, radec\, 4:08:20.38\, -65:55:08.9,J0408-6545_O | PKS 0408-65\, radec\, 4:08:20.38\, -65:45:09.1\, (1410.0 8400.0 -3.708 3.807 -0.7202),J0408-6545_N\, radec\, 4:08:20.38\, -65:35:09.3",SCI-20180516-MB-99,2020-03-20T17:31:16Z,1584725475,Fluxcal J0408-6545,256.1,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",5.44E8,1.088E9
"J0408-6545 | PKS 0408-65 | PKS 0407-65\, radec bfcal single_accumulation\, 4:08:20.38\, -65:45:09.1\, (850.0 1720.0 66.46 -62.7 20.46 -2.265)",SCI-20180516-MB-99,2020-03-20T17:15:56Z,1584724553,Meertime 1K L-band phase up with flatten bandpass,408.16,SPOOLED,,1024,"J0408-6545,PKS 0408-65,PKS 0407-65",5.44E8,1.088E9
"J1709-4429\, radec Pulsars\, 17:09:42.62\, -44:29:13.0,J1634-5107\, radec Pulsars\, 16:34:04.99\, -51:07:45.6,J1746-2849\, radec Pulsars\, 17:46:03.36\, -28:50:13.4,J1811-4930\, radec Pulsars\, 18:11:27.19\, -49:30:20.8,J1812+0226\, radec Pulsars\, 18:12:53.19\, 2:26:57.1,J1815-1738\, radec Pulsars\, 18:15:14.67\, -17:38:03.0,J1818-0151\, radec Pulsars\, 18:18:25.77\, -1:51:54.0,J1821-0256\, radec Pulsars\, 18:21:10.31\, -2:56:38.6,J1821-1432\, radec Pulsars\, 18:21:39.78\, -14:32:53.2,J1824-0127\, radec Pulsars\, 18:24:53.43\, -1:27:51.4,J1824-1350\, radec Pulsars\, 18:24:50.18\, -13:50:21.0",SCI-20180516-MB-02,2020-03-19T23:23:51Z,1584660163,"MeerTIME TPA 2020-03-17  (part1) ",16209.14,SPOOLED,,1024,"J1709-4429,J1634-5107,J1746-2849,J1811-4930,J1812+0226,J1815-1738,J1818-0151,J1821-0256,J1821-1432,J1824-0127,J1824-1350",8.56E8,1.712E9
"J1939-6342_S\, radec\, 19:39:25.03\, -63:52:45.5,J1939-6342_O | PKS 1934-63\, radec\, 19:39:25.03\, -63:42:45.7\, (200.0 12000.0 -11.11 7.777 -1.231),J1939-6342_N\, radec\, 19:39:25.03\, -63:32:45.9",SCI-20180516-MB-99,2020-03-19T23:16:14Z,1584659772,Fluxcal J1939-6342,295.87,SPOOLED,,1024,"J1939-6342_S,J1939-6342_O,PKS 1934-63,J1939-6342_N",8.56E8,1.712E9
"J0825-5010 | PKS 0823-500\, radec bfcal single_accumulation\, 8:25:26.87\, -50:10:38.5\, (850.0 1720.0 -61.36 50.95 -13.59 1.167)",SCI-20180516-MB-99,2020-03-19T23:04:08Z,1584659040,Meertime 1K L-band phase up with flatten bandpass,407.83,SPOOLED,,1024,"J0825-5010,PKS 0823-500",8.56E8,1.712E9
