ProposalId,StartTime,CaptureBlockId,Description,Duration,CAS.ProductTransferStatus,Public,NumFreqChannels,Targets,MinFreq,MaxFreq
SCI-20180516-MB-02,2020-03-30T17:32:28Z,1585589477,"MeerTIME TPA 2020-03-29  + ",15753.34,SPOOLED,,1024,"J0930-2301,J1006-6311,J1012-2337,J1116-2444,J1124-5916,J1156-5909,J1232-4742,J1234-3630,J1308-4650,J1312-5402,J1312-5516,J1313+0931,J1317-5759,J1328-4921,J1336-2522,J1350-5115,J1355-5153,J1402-5124,J1420-5416,J1423-6953,J1513-5946,J1527-3931,J1535-4415,J1539-6322",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-30T17:21:20Z,1585588875,Fluxcal J0408-6545,255.89,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-30T17:11:19Z,1585588276,Meertime 1K L-band phase up with flatten bandpass,455.81,SPOOLED,,1024,"J0408-6545,PKS 0408-65,PKS 0407-65",8.56E8,1.712E9
SCI-20180516-MB-02,2020-03-30T01:37:38Z,1585532185,MeerTIME TPA 2020-03-29  (part1),15481.45,SPOOLED,,1024,"J1709-4429,J1148-5725,J1404+1159,J1810-1441,J1824-0132,J1825+0004,J1833-1034,J1834-0010,J1834-0742,J1835-0349,J1836-1324",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-30T01:26:11Z,1585531568,Fluxcal J1939-6342,255.89,SPOOLED,,1024,"J1939-6342_S,J1939-6342_O,PKS 1934-63,J1939-6342_N",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-30T01:15:55Z,1585530954,Meertime 1K L-band phase up with flatten bandpass,407.83,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
SCI-20180516-KH-01,2020-03-29T16:21:28Z,1585498873,MIGHTEE COSMOS_6,28755.83,SPOOLED,true,32768,"J0408-6545,0408-658,J0521+1638,3C138,J1037+0223,J1008+0740,3C237,J1001+0212,COSMOS_6,J1331+3030,3C286",8.56E8,1.712E9
SCI-20180516-PW-01,2020-03-29T07:18:04Z,1585466272,ThunderKAT XRB+CV 2020-03-28,3830.38,SPOOLED,true,4096,"J1939-6342,1934-638,J1733-1304,NRAO530,MAXIJ1820,J1744-5144,1740-517,GX_339-4,4U1630",8.56E8,1.712E9
SCI-20180516-MB-02,2020-03-29T02:01:58Z,1585447248,MeerTIME TPA 2020-03-29  Sub1  (ptuse 1.2),17048.79,SPOOLED,,1024,"J1709-4429,J1435-5954,J1440-6344,J1502-5653,J1507-4352,J1511-5414,J1530-5327,J1531-5610,J1534-4428,J1534-5334,J1534-5405,J1551-4424,J1555-2341,J1603-2712,J1603-3539,J1648-3256,J1650-1654,J1603-5657,J1622-4802,J1622-4950,J1626-4537,J1627-5936,J1632-4621,J1648-6044,J1649-3805,J1649-4349,J1703-3241,J1703-4851,J1705-3950,J1709-4401,J1720-3659,J1722-3632,J1723-3659,J1737-3555,J1738-3211,J1744-3130,J1750-3157,J1750-3503,J1808-3249,J1807-2715,J1759-2205,J1703-1846,J1748-1300,J1805-0619,J1806-1154,J1808-0813,J1812-1733,J1816-1729,J1818-1422,J1819-0925,J1822-4209,J1823-0154,J1824-1118,J1824-1159,J1831-0823,J1832-0644,J1832-1021,J1833-0338,J1834-0426,J1837-0653,J1839-0643,J1840-0809,J1840-0815,J1843-0211,J1843-0459,J1844-0244,J1843-0000,J1850-0006,J1851-0053,J1856-0526,J1850+0026,J1823+0550,J1841+0912,J1819+1305,J1857+0057,J1857+0212,J1901+0331,J1904+0004,J1905-0056,J1926-0652",8.56E8,1.712E9
SCI-20180516-MB-02,2020-03-29T02:00:45Z,1585447245,MeerTIME TPA 2020-03-29  Sub2  (ptuse 3.4),16712.93,SPOOLED,,1024,"J1709-4429,J1513-5739,J1513-5908,J1514-4834,J1518-3952,J1536-3602,J1614-3937,J1537-4912,J1527-5552,J1543-5459,J1548-5607,J1549-4848,J1610-5006,J1613-4714,J1615-5537,J1618-4723,J1635-5954,J1637-4553,J1639-4604,J1640-4715,J1646-6831,J1651-7642,J1653-4249,J1658-4958,J1742-4616,J1719-4006,J1743-4212,J1655-3048,J1700-3312,J1718-3825,J1740-3052,J1759-3107,J1720-2933,J1743-3150,J1711-1509,J1801-2304,J1801-2451,J1801-2920,J1809-1917,J1809-1943,J1809-2109,J1812-1718,J1819-1114,J1801-0357,J1811-0154,J1820-0509,J1820-1346,J1820-1818,J1822-1400,J1824-1423,J1826-1131,J1827-0750,J1827-0958,J1828-0611,J1834-1202,J1835-0643,J1835-1020,J1836-0436,J1836-1008,J1841-0157,J1841-0345,J1842+1332,J1842-0359,J1842-0905,J1844-0433,J1845-0434,J1847-0605,J1849-0317,J1849-0636,J1852-2610,J1853+0505,J1853+0545,J1853-0004,J1855+0307,J1901-0312,J1901-0906,J1902+0556",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-29T01:50:25Z,1585446619,Sub2: Fluxcal J1939-6342,247.9,SPOOLED,,1024,"J1939-6342_S,J1939-6342_O,PKS 1934-63,J1939-6342_N",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-29T01:50:22Z,1585446618,Sub1: Fluxcal J1939-6342,247.9,SPOOLED,,1024,"J1939-6342_S,J1939-6342_O,PKS 1934-63,J1939-6342_N",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-29T01:41:39Z,1585446096,Sub1: Meertime phase up with flatten bandpass,383.84,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-29T01:30:42Z,1585445440,Sub1: Meertime phase up with flatten bandpass,391.83,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-29T01:30:39Z,1585445436,Sub2: Meertime phase up with flatten bandpass,391.83,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
SCI-20180516-KH-01,2020-03-28T16:30:37Z,1585413022,MIGHTEE COSMOS_5,28763.83,SPOOLED,true,32768,"J0408-6545,0408-658,J0521+1638,3C138,J1037+0223,J1008+0740,3C237,J0959+0212,COSMOS_5,J1331+3030,3C286",8.56E8,1.712E9
SCI-20180516-MB-03,2020-03-28T12:38:44Z,1585399115,"MeerTIME J0737-3039A UHF ",10636.12,SPOOLED,,1024,"J0737-3039A,J0437-4715",5.44E8,1.088E9
SCI-20180516-MB-03,2020-03-28T12:15:17Z,1585397650,"MeerTIME J0737-3039A UHF ",1184.46,SPOOLED,,1024,J0737-3039A,5.44E8,1.088E9
SCI-20180516-MB-99,2020-03-28T11:41:16Z,1585395672,Fluxcal J0408-6545,408.16,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",5.44E8,1.088E9
SCI-20180516-MB-99,2020-03-28T11:30:57Z,1585395056,Meertime 1K L-band phase up with flatten bandpass,408.16,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",5.44E8,1.088E9
SSV-20180505-FC-01,2020-03-28T06:52:13Z,1585378318,Galactic Centre South (Pointings 05-GCS) - Part 2/2,10643.5,SPOOLED,,4096,"J1939-6342,1934-638,J1830-3602,1827-360,GCS3R00C00,GCS3R02C00,GCS3R04C00,GCS3R01C01,GCS3R03C01,GCS3R00C02,GCS3R02C02,GCS3R04C02,J0137+3309,3C48",8.56E8,1.712E9
SCI-20180516-MB-05,2020-03-28T01:44:04Z,1585359777,MeerTIME MSP regular  (2020-03-26) part 2,15697.36,SPOOLED,,1024,"J1629-6902,J1643-1224,J1713+0747,J1719-1438,J1730-2304,J1732-5049,J1737-0811,J1744-1134,J1747-4036,J1751-2857,J1756-2251,J1757-5322,J1801-1417,J1802-2124,J1811-2405,J1823-3021A,J1824-2452A,J1825-0319,J1843-1113,J1902-5105,J1909-3744,J1918-0642,J1933-6211,J1946-5403,J2010-1323,J2234+0944,J2229+2643",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-28T01:36:27Z,1585359385,Fluxcal J1939-6342,255.89,SPOOLED,,1024,"J1939-6342_S,J1939-6342_O,PKS 1934-63,J1939-6342_N",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-28T01:24:48Z,1585358684,Meertime 1K L-band phase up with flatten bandpass,399.83,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
SCI-20180516-MB-05,2020-03-27T12:02:26Z,1585310476,MeerTIME MSP regular  (2020-03-26) part 1,13682.21,SPOOLED,,1024,"J2039-3616,J2234+0944,J2145-0750,J2150-0326,J2322+2057,J2222-0137,J2317+1439,J2124-3358,J2129-5721,J2241-5236,J2322-2650,J0030+0451,J0125-2327,J0437-4715,J0610-2100,J0613-0200,J0614-3329,J0711-6830,J0900-3144,J0955-6150,J1012-4235,J1017-7156,J1036-8317,J1045-4509,J1101-6424,J1103-5403,J1125-5825,J1125-6014",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-27T11:54:05Z,1585310042,Fluxcal J0408-6545,279.88,SPOOLED,,1024,"J0408-6545_S,J0408-6545_O,PKS 0408-65,J0408-6545_N",8.56E8,1.712E9
SCI-20180516-MB-99,2020-03-27T11:41:34Z,1585309293,Meertime 1K L-band phase up with flatten bandpass,431.82,SPOOLED,,1024,"J1939-6342,PKS1934-638,PKS 1934-63",8.56E8,1.712E9
SSV-20180505-FC-01,2020-03-26T23:03:05Z,1585263667,Galactic Centre North (Pointings 05-GCN),33873.67,SPOOLED,,4096,"J1331+3030,3C286,J1939-6342,1934-638,J1733-1304,NRAO530,GCN3R00C00,GCN3R02C00,GCN3R04C00,GCN3R01C01,GCN3R03C01,GCN3R00C02,GCN3R02C02,GCN3R04C02",8.56E8,1.712E9
SSV-20180505-FC-01,2020-03-25T23:04:50Z,1585177409,Galactic Centre South (Pointings 05-GCS) - Part 1/2,25613.16,SPOOLED,,4096,"J1331+3030,3C286,J1939-6342,1934-638,J1830-3602,1827-360,GCS3R00C00,GCS3R02C00,GCS3R04C00,GCS3R01C01,GCS3R03C01,GCS3R00C02,GCS3R02C02,GCS3R04C02",8.56E8,1.712E9
